"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"RP11-489E7.4",0.257939390302064,4.68658916124217,0.470673861759584,0.644109597121556,0.783271913052576,-6.15913594426878
"KRTCAP3",-0.278897247955763,5.98265189733378,-0.470591412220111,0.644167243080385,0.783272894562653,-6.1591751364979
"MRPS35",-0.114008131751027,10.0803746458923,-0.470578864854409,0.644176015983927,0.783272894562653,-6.15918110027868
"KIAA0319L",0.0741938770900123,10.9672831548595,0.47047055716562,0.644251745122619,0.783325083594625,-6.15923257265034
"ABCA13",-0.309188443442731,2.85813425250143,-0.470119032263068,0.64449756047804,0.783584059169654,-6.15939955270882
"DUOXA1",-0.251139936785521,1.5080722314367,-0.469989342739808,0.644588260888829,0.783654428279529,-6.15946112670184
"COA5",0.0958812204023784,9.34364947821166,0.469715246695719,0.644779973320578,0.783847588747563,-6.15959120767646
"RP3-508I15.14",-0.188422744542226,3.74190105739232,-0.469656711039818,0.644820918570873,0.783857453887183,-6.15961897806783
"GCSHP5",-0.145932499104606,4.63125972787377,-0.469515955069055,0.644919381136937,0.783937233684223,-6.15968574151272
"NMT2",0.103054810663811,8.79752266173398,0.469462846889943,0.644956533499283,0.78394248301323,-6.1597109267556
"MECR",-0.111183490070986,7.94400542985949,-0.469295849822885,0.645073364302174,0.784044575752327,-6.15979010294082
"FAM179B",-0.14835937883847,9.02380886937018,-0.469004154724909,0.645277456589921,0.784202878969272,-6.1599283348999
"SH3GL3",-0.250233929701664,1.39757030897798,-0.4689595558721,0.645308663949336,0.784202878969272,-6.15994946257119
"CFAP47",0.574093322179551,4.69616745200346,0.468913070577199,0.645341192045017,0.784202878969272,-6.15997148182112
"RP11-1152H14.1",-0.243996601808852,1.94611472111468,-0.468840360576624,0.645392072373455,0.784202878969272,-6.1600059189869
"JAK1",-0.109600227590508,13.0587331316009,-0.46883348182298,0.645396886017802,0.784202878969272,-6.16000917665746
"AC002451.3",-0.201746679781075,2.66604242285842,-0.468789088117186,0.645427952430654,0.784202878969272,-6.16003019970699
"STIM2",0.147235206659661,10.1464765855285,0.468781129139712,0.645433522140441,0.784202878969272,-6.16003396854966
"CH17-431G21.1",0.092017268152928,8.3156661836653,0.468528827709197,0.645610094509386,0.784377499313358,-6.16015340948404
"PRKD2",-0.11958046207722,10.3859573153599,-0.468432739723765,0.645677347134654,0.784419291720704,-6.16019888164122
"SOGA1",-0.17500135599542,9.5222701412838,-0.468354625494505,0.645732022143629,0.784445800381668,-6.16023584131164
"ZCRB1",-0.112519206220455,9.89971686179438,-0.467915862679214,0.6460391672241,0.784747734812006,-6.1604433301065
"TSPO",0.170060000083757,10.7378083602223,0.467905673492062,0.646046300697973,0.784747734812006,-6.16044814627635
"RP11-64B16.4",-0.413063638791693,2.83395613918211,-0.467810867315548,0.646112676432384,0.784780952985169,-6.16049295385703
"PLCXD1",0.0958332315805147,7.76376959730928,0.467736069083108,0.646165046373595,0.784780952985169,-6.16052829899102
"SYT11",0.118004196577437,10.0912130928852,0.467725773795772,0.646172254763588,0.784780952985169,-6.1605331634926
"RP11-677M14.7",0.190604046765956,4.77300144290496,0.467629031071064,0.646239992316413,0.784823298908783,-6.16057886913934
"RP11-277P12.20",-0.194748064302587,3.18989134142521,-0.467527966700868,0.646310759237008,0.784826138932255,-6.16062660670645
"HACL1",-0.0811949733957757,8.68900179790401,-0.467489975819994,0.646337361977185,0.784826138932255,-6.16064454903305
"SBSPON",-0.414622837111614,7.0804917054348,-0.467484860998919,0.646340943618066,0.784826138932255,-6.16064696455154
"KLHL20",-0.107866359808896,8.98366638633448,-0.467074922353305,0.64662803130676,0.785134808557781,-6.16084047803338
"GCC2",-0.100036708623585,11.0819306378333,-0.466445558405597,0.647068898671361,0.78563015635278,-6.16113725090482
"HLCS",0.109120652443071,8.8942696210564,0.465955921338579,0.647411981591,0.785968678406364,-6.16136786717211
"LRRC47",-0.0679865689986804,9.78762495610651,-0.465953678536905,0.647413553284384,0.785968678406364,-6.16136892297682
"RP11-284F21.7",-0.298784471219136,3.48798768997731,-0.465680622281857,0.647604916408764,0.786161022176919,-6.16149742797771
"C1orf229",-0.194758974176394,3.27927561132727,-0.46562165363159,0.647646246130589,0.786171222360767,-6.16152517002392
"PYGM",-0.257587218393999,5.49053796459829,-0.465392623512395,0.647806779155913,0.786290498578963,-6.16163288577868
"BTN2A3P",-0.125954569553536,7.56449495210691,-0.465387500595312,0.647810370143524,0.786290498578963,-6.16163529456171
"AC018892.9",0.307393905554816,1.5410488845506,0.46503325066311,0.648058708834176,0.786551938395933,-6.16180179944333
"MS4A2",0.354606843472599,6.00763796576921,0.464949041201656,0.648117748227481,0.786583609855098,-6.16184136150614
"RP11-307L3.2",0.125269772282409,5.53818283264183,0.464699419143897,0.64829277289242,0.786756035660233,-6.1619585943491
"SDC1",-0.414958610185519,9.13167440832028,-0.464506264088392,0.648428219826141,0.78685423649324,-6.16204926591627
"CWF19L1",0.0601125505487393,9.57162661981712,0.464443428435142,0.64847228508054,0.78685423649324,-6.16207875455688
"RP4-794H19.1",0.221688054006246,5.24210949219487,0.464428183461066,0.648482976246872,0.78685423649324,-6.16208590840623
"ZSCAN5A",0.103607278896614,6.79364135935738,0.464390366552492,0.648509497254775,0.78685423649324,-6.1621036533646
"REEP2",-0.275662759952865,4.40944824386535,-0.464349053840012,0.648538470428484,0.78685423649324,-6.16212303706423
"ZNF16",-0.10758263200564,7.56139107695728,-0.464278544537721,0.648587920917126,0.786874247958196,-6.16215611576919
"PRRC2C",0.0918896069332194,12.547644478087,0.464208602328341,0.648636975360205,0.786893776926998,-6.16218892359973
"FAM118A",-0.238126203058688,9.79845767524207,-0.463799518207304,0.648923922693783,0.787144560327009,-6.16238071658548
"RP11-10G12.1",0.164331218012932,3.08844927254254,0.463785072127532,0.648934056772498,0.787144560327009,-6.16238748640679
"RPL23AP42",-0.0835368971683716,11.4702931356905,-0.463772893406892,0.648942600329906,0.787144560327009,-6.16239319352325
"RP4-583P15.10",0.180878215642365,3.27450393319263,0.463602765334018,0.64906195304032,0.787249336590839,-6.16247290263764
"THNSL2",-0.297004581442907,8.2562722451085,-0.463513589131795,0.649124518209424,0.787285227916702,-6.16251467247621
"PPARD",-0.182264163352618,10.447399920317,-0.463464275372204,0.649159117433984,0.787287199057947,-6.16253776752088
"DCLRE1B",-0.100418689382261,8.29505876334539,-0.463331394029937,0.6492523529685,0.787360279331365,-6.16259998775348
"MGAT4C",0.128401973099221,4.95346796378308,0.463254280857479,0.649306461800863,0.787385904919366,-6.16263608719051
"RP11-17M16.2",-0.19070028457214,3.04772615348626,-0.46313805876334,0.649388016438216,0.787444808556569,-6.16269048386711
"RP11-506H20.1",-0.307258334930276,0.809806798949374,-0.463072871440237,0.649433761289931,0.787460285641074,-6.16272098837701
"AC097662.2",-0.14970204121259,4.11162338514684,-0.462882050517102,0.649567677156023,0.787582666045968,-6.16281025930861
"AP000936.1",-0.0869632828679269,10.1946607802562,-0.462712924205645,0.649686378359035,0.787686587604749,-6.16288935101244
"APOH",-0.449858321306023,3.00720764378156,-0.462662285343554,0.64972192110807,0.787689681546475,-6.16291302673999
"PURA",0.113902793459175,9.44509668699178,0.462591582906482,0.649771547674876,0.787709848808599,-6.16294607878662
"KRT17",-0.428608096107346,4.50921866602816,-0.462466651962426,0.649859241791025,0.787776160489566,-6.1630044696131
"PSMA5",0.102085825285977,10.9370834801629,0.46233426438395,0.649952175815081,0.787848817066603,-6.16306632880708
"TMEM26",0.205851467072086,6.67276392783257,0.462065761202915,0.650140679176401,0.788037306123248,-6.16319173621649
"RP11-11N7.4",-0.153279345676261,2.08632361683628,-0.461951186226781,0.650221124297551,0.788094805001692,-6.16324522815598
"FAM98C",0.105918868735384,8.57661535688171,0.46182710459812,0.650308249239132,0.788122394885476,-6.16330314393086
"CCNY",-0.104545399186075,10.9890639828433,-0.461824745980134,0.650309905412915,0.788122394885476,-6.16330424468198
"RPP30",-0.0663353507358653,9.093053808844,-0.461733227838468,0.650374169057905,0.788160271060123,-6.16334695135695
"ZNF507",-0.168519404059786,9.13132197461694,-0.46157438855723,0.650485712070936,0.788255436299328,-6.16342105369023
"RP11-5O24.1",-0.259386252079932,2.41010696323345,-0.461366806519232,0.650631497025173,0.78839208399173,-6.16351785828221
"FLJ41941",0.284781161733388,1.05853258136515,0.461134322549809,0.650794787982004,0.788549929350842,-6.16362622541999
"RP11-216B9.6",-0.199660109364416,2.92230784788766,-0.460941459752833,0.650930263932259,0.788674057730976,-6.16371608370001
"RP11-127B20.3",-0.163499832045136,3.39526511831693,-0.460644513708769,0.651138877547505,0.788886783392918,-6.16385436471921
"THOC2",0.0894226935890836,11.0751830341403,0.460327041813413,0.65136194426677,0.789116997225158,-6.1640021082181
"CTA-243E7.1",-0.143609259054152,2.55425943666154,-0.459895385995461,0.651665295345312,0.789444446276558,-6.16420283100542
"HPDL",0.220373457886888,2.55220447249717,0.459817673097069,0.651719915680487,0.789470558436698,-6.16423894854085
"SPEN",0.159184533188085,11.2672167641915,0.459644270221192,0.651841798872385,0.789578143669883,-6.16431951714618
